"season_id","league_gender","vbl_id","competition_stage"
"1314","Women",167287,"Main"
"1415","Women",8750636,"Main"
"1516","Women",21637601,"Main"
"1617","Women",42703553,"Main"
"1718","Women",58915341,"Main"
"1314","Women",6865814,"Play-Off"
"1415","Women",8750629,"Play-Off"
"1516","Women",21637588,"Play-Off"
"1617","Women",42703537,"Play-Off"
"1718","Women",58915322,"Play-Off"
"1314","Men",167030,"Main"
"1415","Men",8750469,"Main"
"1516","Men",21637382,"Main"
"1617","Men",42703825,"Main"
"1718","Men",58915639,"Main"
"1314","Men",232441,"Play-Off"
"1415","Men",8750462,"Play-Off"
"1516","Men",21637369,"Play-Off"
"1617","Men",42703805,"Play-Off"
"1718","Men",58915616,"Play-Off"
